book_name,book_author,book_narrator,book_price,book_imagelink
Clean Code,Robert C. Martin,Theodore O'Brien,$39.99,https://m.media-amazon.com/images/I/41EYLUDaF8L._SL500_.jpg
The Book on YouTube Marketing Videos: YouTube Marketing for Beginners,Kane Macarthy,Eric LaCord,$6.95,https://m.media-amazon.com/images/I/51MX3uSGNqL._SL500_.jpg
"Metaverse Investing Beginners Guide to Crypto Art, NFTs, and Digital Assets in the Metaverse",The Meta-Verse,Meta Mentor,$14.95,https://m.media-amazon.com/images/I/61JvGAK4p0L._SL500_.jpg
"Blogging: Increase Your Passive Income with 4 Steps, Profit from a Blog in 2019, 2020: Social Media Marketing, Instagram, Facebook FB Advertising, You Tube and More!",Matt Lynch,Dave Robbins,$19.95,https://m.media-amazon.com/images/I/514GcHoYb9L._SL500_.jpg
Java: 3 Books in 1,Andy Vickler,Helpful Matthew,$24.95,https://m.media-amazon.com/images/I/41VZDt43bsL._SL500_.jpg
Antisocial Media,Siva Vaidhyanathan,Jack Garrett,$27.99,https://m.media-amazon.com/images/I/51vYC4GkmQL._SL500_.jpg
Zucked,Roger McNamee,Roger McNamee,$31.50,https://m.media-amazon.com/images/I/41AQrGI4Z6L._SL500_.jpg
Machine Learning: 4 Books in 1,Samuel Hack,Sean Antony,$24.95,https://m.media-amazon.com/images/I/61n4-psEpAL._SL500_.jpg
Elemental Alpha,Liam Lawson,Rafe Beckley,$24.95,https://m.media-amazon.com/images/I/61UT13ZGR1L._SL500_.jpg
Manipulados [Disrupted/An Ugly Truth],Sheera Frenkel,Kerygma Flores,$16.06,https://m.media-amazon.com/images/I/51t8t-vF--L._SL500_.jpg
Coding for Absolute Beginners and Cybersecurity: 5 Books in 1,Alan Grid,Michael Andrews,$24.95,https://m.media-amazon.com/images/I/51Tet6beFWL._SL500_.jpg
The Complete Ethical Hacking Course Bundle!,Charles Berry,Matthew Bevan,$29.95,https://m.media-amazon.com/images/I/51CXr2uGtCS._SL500_.jpg
Social Media Marketing for Business 2022,Allan Miller,Jason Belvill,$24.95,https://m.media-amazon.com/images/I/51LSQQnhQFL._SL500_.jpg
Computer Networking,Russell Scott,Benjamin Williams,$24.95,https://m.media-amazon.com/images/I/51OGVQgCiJL._SL500_.jpg
How to Get Rid of Social Media Addiction,Anthea Peries,Sangita Chauhan,$6.95,https://m.media-amazon.com/images/I/51jjZbFcCsL._SL500_.jpg
The Ascent of Information,Caleb Scharf,Jonathan Todd Ross,$28.00,https://m.media-amazon.com/images/I/514FAwg8i1S._SL500_.jpg
Hackers & Painters,Paul Graham,Mark Sando,$39.99,https://m.media-amazon.com/images/I/61MSZsYP-NL._SL500_.jpg
Cybersecurity Bible,Hugo Hoffman,Matyas J.,$24.95,https://m.media-amazon.com/images/I/51vc-DsfpTL._SL500_.jpg
Designing Data-Intensive Applications,Martin Kleppmann,Benjamin Lange,$49.99,https://m.media-amazon.com/images/I/512ESwpmobL._SL500_.jpg
Top Secrets for Cheap Facebook Ads,Bruce Walker,Sean Miranda,$3.95,https://m.media-amazon.com/images/I/51YQ6uVt7CL._SL500_.jpg
Diary of a Wimpy Stampy Cat,Justin B. Harrison,Ryan DeRemer,$3.95,https://m.media-amazon.com/images/I/61icHGkWrXL._SL500_.jpg
Software Engineering at Google,Titus Winters,Mark Sando,$49.99,https://m.media-amazon.com/images/I/51qxBkkwLpL._SL500_.jpg
CompTIA Network+: 2 Books in 1,Mike Brown,Jack R James,$19.95,https://m.media-amazon.com/images/I/51HgzeU521L._SL500_.jpg
CISSP: 2 Books in 1,Robert Preston,Jim Rising,$19.95,https://m.media-amazon.com/images/I/51e+Rvn--IL._SL500_.jpg
Python - The Bible: 3 Manuscripts in 1 Book,Maurice J. Thompson,Ronald Hillman,$24.95,https://m.media-amazon.com/images/I/41dFiz7TLzL._SL500_.jpg
The Loop,Jacob Ward,Jacob Ward,$30.79,https://m.media-amazon.com/images/I/51dMbPUQMvL._SL500_.jpg
Cybersecurity for Beginners,Attila Kovacs,Matyas J.,$19.95,https://m.media-amazon.com/images/I/612AnvpYezL._SL500_.jpg
"Hacking: How to Hack, Penetration Testing Hacking Book, Step-by-Step Implementation and Demonstration Guide",Alex Wagner,Matthew Broadhead,$14.95,https://m.media-amazon.com/images/I/61Pp17IJVEL._SL500_.jpg
Python Book 2021 - Python Programming for Beginners!,Magnus D'Jango,Michael Stuhre,$3.95,https://m.media-amazon.com/images/I/51o-8DdrOrL._SL500_.jpg
Data Analytics: 5 Books in 1,Daniel Jones,William Bahl,$19.95,https://m.media-amazon.com/images/I/61PLkffTyyL._SL500_.jpg
Tech Panic,Robby Soave,Kirby Heyborne,$18.89,https://m.media-amazon.com/images/I/41sdNiBZi6L._SL500_.jpg
Hacking: 4 Books in 1,Erickson Karnel,Nikola Muckajev,$24.95,https://m.media-amazon.com/images/I/51UUJIc+KWL._SL500_.jpg
LikeWar,P. W. Singer,George Guidall,$27.99,https://m.media-amazon.com/images/I/51V0MIMBAfL._SL500_.jpg
Social Media Marketing for Beginners 2022,Chandler Miller,Curtis Wright,$14.95,https://m.media-amazon.com/images/I/51YmARp+5QL._SL500_.jpg
Data Analytics: 4 Books in 1 - Bible of 4 Manuscipts,Daniel Jones,William Bahl,$19.95,https://m.media-amazon.com/images/I/61NbiIw58XL._SL500_.jpg
Cyber Security: This Book Includes: Kali Linux for Hackers and Hacker Basic Security,Karnel Erikson,Jason Wright,$19.95,https://m.media-amazon.com/images/I/51bMJos1-EL._SL500_.jpg
El Libro Negro del Programador [The Programmer's Black Book],Rafael Gómez Blanes,Alfonso Sales,$19.95,https://m.media-amazon.com/images/I/41-SurIgwoL._SL500_.jpg
Machine Learning: 3 Books in 1,Scott Chesterton,Micah Howery,$24.95,https://m.media-amazon.com/images/I/51Cghf0+fNL._SL500_.jpg
"C++: The Complete 3 Books in 1 for Beginners, Intermediate and 21 Sample Codes and Advance Crash Course Guide in C++ Programming",Zach Webber,William Bahl,$14.95,https://m.media-amazon.com/images/I/51YdJ+jnP2L._SL500_.jpg
Python for Beginners: 2 Books in 1,Mark Matthes,Jerome Vega,$19.95,https://m.media-amazon.com/images/I/51m5vkAXCDS._SL500_.jpg
Aprende Inglés Fluido muy Rápido [Learn Fluent English Very Fast],Efrain Galeano Bonett,Emmanoel Gonzáles,$6.95,https://m.media-amazon.com/images/I/51PMz0jAYpL._SL500_.jpg
The Principles of Cybersecurity and Hacking: 5 Books in 1,Zach Webber,William Bahl,$19.95,https://m.media-amazon.com/images/I/61yhZo8f6yL._SL500_.jpg
Thinking in Algorithms,Albert Rutherford,Russell Newton,$6.95,https://m.media-amazon.com/images/I/413L814opAL._SL500_.jpg
